I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
8,17,-0.10833951,0.02366603,-4.19956418,0.29038169
8,18,0.01929329,0.0143445,-2.9527339,0.44653704
8,19,-0.00068126,0.01938766,-5.17833673,0.43661409
8,20,-0.00993109,0.01407892,-3.61435992,0.54318037
8,21,0.03001944,0.02763295,4.19765049,0.71785688
8,22,0.12013037,0.05353063,3.26206635,0.38897954
8,23,-0.06741117,0.02603672,2.92380124,0.4562845
8,24,0.08211894,0.03721237,5.49181179,0.64599152
8,25,0.17124784,0.03769935,4.15184195,0.43785842
8,26,-0.02721771,0.03074096,3.91668787,0.6699349
8,27,0.28122221,0.08920885,3.9533293,0.67937326
8,28,-0.19240134,0.09191404,4.44731358,0.93079618
8,29,-0.05562339,0.07339057,3.9772325,0.63254896
8,30,0.18930503,0.04401743,4.15497141,0.83401196
8,31,0.04006494,0.06296956,1.57271156,0.52181771
8,32,0.01916909,0.02052115,6.86795799,1.18283974
8,33,0.07459723,0.04241494,5.4955451,0.77931681
8,34,-0.14525623,0.03765125,6.59202915,1.24481634
8,35,-0.01036635,0.03180448,6.41499446,1.22833816
8,36,0.13696145,0.04576511,5.85892958,0.94091809
8,37,-0.11996827,0.04458862,6.65905403,1.09693885
8,38,0.1840031,0.117703,3.71609398,0.79384073
8,39,0.07680746,0.12553065,-1.23657476,0.13309096
8,40,0.2318646,0.06059555,0.04492966,0.0729568
8,41,-0.02386116,0.03421283,9.53126047,1.64397076
8,42,-0.04035357,0.0183575,10.2789327,2.15231465
8,43,-0.11762143,0.03629801,9.8255573,1.80962411
8,44,0.07162592,0.06101504,5.87627377,1.28184193
8,45,0.24100431,0.10156718,7.72929025,1.24706556
8,46,-0.06865599,0.03286574,6.08352712,0.72226575
8,47,-0.02222482,0.01992179,6.59208188,1.2122476
8,48,-0.18614119,0.03785046,9.83235456,1.73429404
8,49,0.10404922,0.03502572,8.56484753,1.33482977
8,50,0.05771675,0.02769979,6.63515277,1.40882068
8,51,-0.17930984,0.11802007,4.96951369,1.11732522
8,52,0.22257526,0.11191128,6.53365845,1.29193989
8,53,-0.31538561,0.16312426,6.62234899,1.13796882
8,54,-0.01949622,0.05342861,-0.07660856,0.21836046
8,55,-0.15344188,0.04716795,5.04848222,0.35968183
9,1,0.22435422,0.08117973,-7.02185318,0.68730322
9,2,0.03495771,0.05652014,-6.50941724,0.61631108
