ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
233,Deep Creek,Deep Creek,8,2016,S17,Timeseries,233,01-Jul,F5,54.5,1.9,2.2,13.6,Quality Mimulus Plate 7 Angert 2020 DM,F5,100,12,50,Angert Mimulus – 7,F5,50,13.6,
234,Deep Creek,Deep Creek,8,2016,S17,Timeseries,234,01-Jul,G5,81,1.8,2.2,11.5,Quality Mimulus Plate 7 Angert 2020 DM,G5,100,14,50,Angert Mimulus – 7,G5,50,11.5,
235,Deep Creek,Deep Creek,8,2016,S17,Timeseries,235,01-Jul,H5,42.3,1.9,2.4,6.3,Quality Mimulus Plate 7 Angert 2020 DM,H5,100,24,50,Angert Mimulus – 7,H5,50,6.31,
236,Deep Creek,Deep Creek,8,2016,S17,Timeseries,236,01-Jul,A6,106.2,1.9,2.3,15.8,Quality Mimulus Plate 7 Angert 2020 DM,A6,100,10,50,Angert Mimulus – 7,A6,50,15.8,
237,Deep Creek,Deep Creek,8,2016,S17,Timeseries,237,01-Jul,B6,126.2,1.9,2.3,23.6,Quality Mimulus Plate 7 Angert 2020 DM,B6,100,7,50,Angert Mimulus – 7,B6,50,23.6,
238,Deep Creek,Deep Creek,8,2016,S17,Timeseries,238,01-Jul,C6,24.7,2,1.9,5.6,Quality Mimulus Plate 7 Angert 2020 DM,C6,100,27,50,Angert Mimulus – 7,C6,50,5.56,
239,Deep Creek,Deep Creek,8,2016,S17,Timeseries,239,01-Jul,D6,98.9,1.9,2.3,22.5,Quality Mimulus Plate 7 Angert 2020 DM,D6,100,7,50,Angert Mimulus – 7,D6,50,22.5,
340,Deer Creek,Deer Creek,10,2011,S36,Both,340,01-Apr,F6,98.4,1.9,2.3,11.3,Quality Mimulus Plate 4 Angert 2020 DM,F6,65,14,40,Angert Mimulus – 4,F6,40,11.3,
341,Deer Creek,Deer Creek,10,2011,S36,Both,341,01-Apr,G6,102.1,1.8,2.3,8,Quality Mimulus Plate 4 Angert 2020 DM,G6,65,19,40,Angert Mimulus – 4,G6,40,8.02,
342,Deer Creek,Deer Creek,10,2011,S36,Both,342,R-1,D2,122.5,1.9,2.1,19.4,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,F12,40,8,40,Angert Mimulus – 8,F12,40,19.4,
343,Deer Creek,Deer Creek,10,2011,S36,Both,343,01-Apr,H6,290.8,1.9,2.3,11.3,Quality Mimulus Plate 4 Angert 2020 DM,H6,65,14,40,Angert Mimulus – 4,H6,40,11.3,
344,Deer Creek,Deer Creek,10,2011,S36,Both,344,01-Apr,A7,115.9,2,2.3,23.9,Quality Mimulus Plate 4 Angert 2020 DM,A7,45,7,30,Angert Mimulus – 4,A7,30,23.9,
