ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
901,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,901,01-Aug,G9,140.5,1.8,1.6,56.1,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,G9,30,3,25,Angert Mimulus – 8,G9,25,56.1,
902,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,902,01-Aug,H9,1533.4,1.9,2.2,90.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,H9,30,2,25,Angert Mimulus – 8,H9,25,90.9,
184,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,184,R-3,F5,144.6,1.9,2,85.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E11,30,2,25,Angert Mimulus – 2,E11,25,85.8,
185,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,185,R-5,F3,128.4,1.9,2,34.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F11,30,5,30,Angert Mimulus – 2,F11,30,34.3,
186,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,186,02-Feb,G11,270.5,1.9,2.5,49.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G11,45,4,40,Angert Mimulus – 2,G11,40,49.1,
187,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,187,02-Feb,H11,169.2,1.9,2.4,20.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H11,45,8,40,Angert Mimulus – 2,H11,40,20.3,
188,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,188,R-3,G5,104.4,1.9,1.9,23.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A12,30,7,30,Angert Mimulus – 2,A12,30,23.6,
189,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,189,R-4,B11,40,1.8,1.8,5.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B12,30,28,30,Angert Mimulus – 2,B12,30,5.36,
190,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,190,02-Feb,C12,41.4,1.9,1.6,5.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C12,45,28,40,Angert Mimulus – 2,C12,40,5.47,
191,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,191,02-Feb,D12,33.5,2,1.6,5.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D12,45,29,40,Angert Mimulus – 2,D12,40,5.27,
672,O'Neil Creek,O'Neil Creek,9,2010,S16,Both,672,01-Jun,D8,123,1.8,2,21.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D8,45,8,40,Angert Mimulus – 6,D8,40,21.3,
192,O'Neil Creek,O'Neil Creek,9,2012,S16,Timeseries,192,R-4,C11,43.7,1.8,1.8,9.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E12,30,16,25,Angert Mimulus – 2,E12,25,9.55,
193,O'Neil Creek,O'Neil Creek,9,2012,S16,Timeseries,193,02-Feb,F12,112.4,1.9,2,17.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F12,45,9,40,Angert Mimulus – 2,F12,40,17.1,
194,O'Neil Creek,O'Neil Creek,9,2012,S16,Timeseries,194,R-4,D11,107.9,1.8,1.9,8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G12,30,19,25,Angert Mimulus – 2,G12,25,7.99,
195,O'Neil Creek,O'Neil Creek,9,2012,S16,Timeseries,195,02-Feb,H12,259,1.9,2.2,26.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H12,35,6,30,Angert Mimulus – 2,H12,30,26.2,
196,O'Neil Creek,O'Neil Creek,9,2013,S16,Timeseries,196,01-Jul,A1,187.5,1.9,2.4,26.7,Quality Mimulus Plate 7 Angert 2020 DM,A1,100,6,40,Angert Mimulus – 7,A1,40,26.7,
197,O'Neil Creek,O'Neil Creek,9,2013,S16,Timeseries,197,01-Jul,B1,135.9,1.9,2.3,13.4,Quality Mimulus Plate 7 Angert 2020 DM,B1,100,12,40,Angert Mimulus – 7,B1,40,13.4,
198,O'Neil Creek,O'Neil Creek,9,2013,S16,Timeseries,198,01-Jul,C1,32.3,2,2.2,54.4,Quality Mimulus Plate 7 Angert 2020 DM,C1,100,3,40,Angert Mimulus – 7,C1,40,54.4,
199,O'Neil Creek,O'Neil Creek,9,2014,S16,Timeseries,199,01-Jul,D1,31.6,1.9,1.9,5.7,Quality Mimulus Plate 7 Angert 2020 DM,D1,100,27,40,Angert Mimulus – 7,D1,40,5.67,
200,O'Neil Creek,O'Neil Creek,9,2014,S16,Timeseries,200,01-Jul,E1,223.6,1.9,2.4,26.6,Quality Mimulus Plate 7 Angert 2020 DM,E1,100,6,40,Angert Mimulus – 7,E1,40,26.6,
201,O'Neil Creek,O'Neil Creek,9,2014,S16,Timeseries,201,01-Jul,F1,30.6,1.8,2,8.6,Quality Mimulus Plate 7 Angert 2020 DM,F1,100,18,40,Angert Mimulus – 7,F1,40,8.6,
202,O'Neil Creek,O'Neil Creek,9,2014,S16,Timeseries,202,01-Jul,G1,81.6,1.9,2.1,10.1,Quality Mimulus Plate 7 Angert 2020 DM,G1,100,15,40,Angert Mimulus – 7,G1,40,10.1,
203,O'Neil Creek,O'Neil Creek,9,2014,S16,Timeseries,203,01-Jul,H1,54,1.9,2.1,7.2,Quality Mimulus Plate 7 Angert 2020 DM,H1,100,21,40,Angert Mimulus – 7,H1,40,7.23,
204,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,204,01-Jul,A2,44.7,2,2.3,7.6,Quality Mimulus Plate 7 Angert 2020 DM,A2,100,20,40,Angert Mimulus – 7,A2,40,7.56,
205,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,205,01-Jul,B2,119.7,1.9,2.4,24.8,Quality Mimulus Plate 7 Angert 2020 DM,B2,100,7,40,Angert Mimulus – 7,B2,40,24.8,
206,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,206,R-4,E11,557,1.8,2.2,24.5,Quality Mimulus Plate 7 Angert 2020 DM,C2,50,7,40,Angert Mimulus – 7,C2,40,24.5,
207,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,207,01-Jul,D2,128.1,1.9,2.4,16.8,Quality Mimulus Plate 7 Angert 2020 DM,D2,100,9,40,Angert Mimulus – 7,D2,40,16.8,
208,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,208,01-Jul,E2,149.5,1.9,2.3,15.5,Quality Mimulus Plate 7 Angert 2020 DM,E2,100,10,40,Angert Mimulus – 7,E2,40,15.5,
209,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,209,01-Jul,F2,40.5,1.9,2.1,9.7,Quality Mimulus Plate 7 Angert 2020 DM,F2,100,16,40,Angert Mimulus – 7,F2,40,9.74,
210,O'Neil Creek,O'Neil Creek,9,2015,S16,Timeseries,210,01-Jul,G2,69.3,1.9,2.3,13.6,Quality Mimulus Plate 7 Angert 2020 DM,G2,100,12,40,Angert Mimulus – 7,G2,40,13.6,
211,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,211,01-Jul,H2,78.8,2,2.2,15.9,Quality Mimulus Plate 7 Angert 2020 DM,H2,100,10,40,Angert Mimulus – 7,H2,40,15.9,
212,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,212,01-Jul,A3,56.2,1.9,2.1,10.7,Quality Mimulus Plate 7 Angert 2020 DM,A3,100,15,40,Angert Mimulus – 7,A3,40,10.7,
213,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,213,01-Jul,B3,15.8,1.7,2,7.5,Quality Mimulus Plate 7 Angert 2020 DM,B3,100,21,40,Angert Mimulus – 7,B3,40,7.46,
214,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,214,01-Jul,C3,187.2,1.9,2.4,29.2,Quality Mimulus Plate 7 Angert 2020 DM,C3,100,6,40,Angert Mimulus – 7,C3,40,29.2,
215,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,215,01-Jul,D3,77.8,1.9,2.3,11.4,Quality Mimulus Plate 7 Angert 2020 DM,D3,100,14,40,Angert Mimulus – 7,D3,40,11.4,
216,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,216,01-Jul,E3,56.4,1.9,2.2,11,Quality Mimulus Plate 7 Angert 2020 DM,E3,100,14,40,Angert Mimulus – 7,E3,40,11,
217,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,217,01-Jul,F3,411.1,1.9,2.2,42.6,Quality Mimulus Plate 7 Angert 2020 DM,F3,100,4,40,Angert Mimulus – 7,F3,40,42.6,
218,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,218,01-Jul,G3,83,1.9,2.3,25.4,Quality Mimulus Plate 7 Angert 2020 DM,G3,100,6,40,Angert Mimulus – 7,G3,40,25.4,
219,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,219,01-Jul,H3,143.4,1.9,2.3,24.6,Quality Mimulus Plate 7 Angert 2020 DM,H3,100,7,40,Angert Mimulus – 7,H3,40,24.6,
220,O'Neil Creek,O'Neil Creek,9,2016,S16,Timeseries,220,01-Jul,A4,361.3,1.9,2.4,51,Quality Mimulus Plate 7 Angert 2020 DM,A4,100,3,40,Angert Mimulus – 7,A4,40,51,
283,Oregon Creek,Oregon Creek,6,2010,S29,Both,283,01-Jul,G11,31.3,2,2.1,3.7,Quality Mimulus Plate 7 Angert 2020 DM,G11,100,41,45,Angert Mimulus – 7,G11,45,3.72,
284,Oregon Creek,Oregon Creek,6,2010,S29,Both,284,R-2,E6,16.4,2.1,2.7,4.4,Quality Mimulus Plate 7 Angert 2020 DM,H11,45,35,40,Angert Mimulus – 7,H11,40,4.35,
285,Oregon Creek,Oregon Creek,6,2010,S29,Both,285,R-2,F6,308.1,1.9,2.3,61.7,Quality Mimulus Plate 7 Angert 2020 DM,A12,45,3,40,Angert Mimulus – 7,A12,40,61.7,
286,Oregon Creek,Oregon Creek,6,2010,S29,Both,286,01-Jul,B12,100.9,2,2.3,12.5,Quality Mimulus Plate 7 Angert 2020 DM,B12,100,12,40,Angert Mimulus – 7,B12,40,12.5,
287,Oregon Creek,Oregon Creek,6,2010,S29,Both,287,R-2,G6,104.9,1.9,2,16,Quality Mimulus Plate 7 Angert 2020 DM,C12,45,10,40,Angert Mimulus – 7,C12,40,16,
288,Oregon Creek,Oregon Creek,6,2010,S29,Both,288,R-2,H6,579.3,1.9,2.4,88.4,Quality Mimulus Plate 7 Angert 2020 DM,D12,45,2,40,Angert Mimulus – 7,D12,40,88.4,
289,Oregon Creek,Oregon Creek,6,2010,S29,Both,289,01-Jul,E12,61,1.8,2.3,20.3,Quality Mimulus Plate 7 Angert 2020 DM,E12,100,8,40,Angert Mimulus – 7,E12,40,20.3,
290,Oregon Creek,Oregon Creek,6,2010,S29,Both,290,01-Jul,F12,31.6,2,2.5,6.5,Quality Mimulus Plate 7 Angert 2020 DM,F12,100,24,40,Angert Mimulus – 7,F12,40,6.51,
693,Oregon Creek,Oregon Creek,6,2010,S29,Both,693,01-Jun,E8,77.5,1.8,2,27.4,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E8,45,6,40,Angert Mimulus – 6,E8,40,27.4,
700,Oregon Creek,Oregon Creek,6,2010,S29,Both,700,01-Jun,F8,151.9,1.9,2.1,29.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F8,45,6,40,Angert Mimulus – 6,F8,40,29.7,
291,Oregon Creek,Oregon Creek,6,2013,S29,Timeseries,291,01-Jul,G12,96.3,1.9,2.5,21.2,Quality Mimulus Plate 7 Angert 2020 DM,G12,100,8,40,Angert Mimulus – 7,G12,40,21.2,
292,Oregon Creek,Oregon Creek,6,2013,S29,Timeseries,292,R-2,A7,56.3,1.9,1.9,19.9,Quality Mimulus Plate 7 Angert 2020 DM,H12,45,8,40,Angert Mimulus – 7,H12,40,19.9,
293,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,293,R-2,B7,234.8,1.9,2.2,55.9,Quality Mimulus Plate 4 Angert 2020 DM,A1,45,3,40,Angert Mimulus – 4,A1,40,55.9,
294,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,294,01-Apr,B1,111.7,1.9,2.3,10.6,Quality Mimulus Plate 4 Angert 2020 DM,B1,65,15,40,Angert Mimulus – 4,B1,40,10.6,
295,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,295,R-2,C7,148.3,1.9,2.2,39.3,Quality Mimulus Plate 4 Angert 2020 DM,C1,45,4,40,Angert Mimulus – 4,C1,40,39.3,
296,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,296,R-5,F6,153.3,1.9,2.2,43.8,Quality Mimulus Plate 4 Angert 2020 DM,D1,65,4,40,Angert Mimulus – 4,D1,40,43.8,
297,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,297,01-Apr,E1,93.3,1.9,2.4,6.9,Quality Mimulus Plate 4 Angert 2020 DM,E1,65,22,40,Angert Mimulus – 4,E1,40,6.88,
298,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,298,R-2,E7,82.7,1.9,2.2,19.4,Quality Mimulus Plate 4 Angert 2020 DM,F1,45,8,40,Angert Mimulus – 4,F1,40,19.4,
299,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,299,01-Apr,G1,99.5,2,2.4,8.5,Quality Mimulus Plate 4 Angert 2020 DM,G1,70,18,40,Angert Mimulus – 4,G1,40,8.47,
300,Oregon Creek,Oregon Creek,6,2014,S29,Timeseries,300,01-Apr,H1,245.4,1.9,2.3,11.1,Quality Mimulus Plate 4 Angert 2020 DM,H1,70,14,40,Angert Mimulus – 4,H1,40,11.1,
302,Oregon Creek,Oregon Creek,6,2015,S29,Timeseries,302,01-Apr,A2,80.4,1.9,2.4,15.6,Quality Mimulus Plate 4 Angert 2020 DM,A2,65,10,40,Angert Mimulus – 4,A2,40,15.6,
303,Oregon Creek,Oregon Creek,6,2015,S29,Timeseries,303,R-4,D12,24.1,1.7,1.6,15.6,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,E12,40,10,40,Angert Mimulus – 8,E12,40,15.6,
304,Oregon Creek,Oregon Creek,6,2016,S29,Timeseries,304,01-Apr,B2,169.7,1.9,2.3,23.8,Quality Mimulus Plate 4 Angert 2020 DM,B2,65,7,40,Angert Mimulus – 4,B2,40,23.8,
720,Paradise Creek,Paradise Creek,21,2010,,Baseline,720,01-Jun,B9,1386.2,2,2.4,150,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B9,45,1,40,Angert Mimulus – 6,B9,40,150,
721,Paradise Creek,Paradise Creek,21,2010,,Baseline,721,01-Jun,C9,389.2,1.9,2.3,41.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C9,45,4,40,Angert Mimulus – 6,C9,40,41.8,
722,Paradise Creek,Paradise Creek,21,2010,,Baseline,722,01-Jun,D9,184.6,1.8,2.1,62.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D9,45,3,40,Angert Mimulus – 6,D9,40,62.7,
723,Paradise Creek,Paradise Creek,21,2010,,Baseline,723,01-Jun,E9,347.6,1.8,2.2,109,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E9,45,2,40,Angert Mimulus – 6,E9,40,109,
724,Paradise Creek,Paradise Creek,21,2010,,Baseline,724,01-Jun,F9,213,1.9,2.2,83.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F9,45,2,40,Angert Mimulus – 6,F9,40,83.5,
725,Rainbow Pool,Rainbow Pool,29,2009,,Baseline,725,01-Jun,G9,472.2,1.9,2.3,83.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G9,45,2,40,Angert Mimulus – 6,G9,40,83.6,
726,Rainbow Pool,Rainbow Pool,29,2009,,Baseline,726,01-Jun,H9,141.1,1.8,2.1,45.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H9,45,4,40,Angert Mimulus – 6,H9,40,45.9,
727,Rainbow Pool,Rainbow Pool,29,2009,,Baseline,727,01-Jun,A10,103,1.8,2,31.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A10,45,5,40,Angert Mimulus – 6,A10,40,31.9,
729,Rainbow Pool,Rainbow Pool,29,2009,,Baseline,729,01-Jun,B10,1392.1,2,2.4,112,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B10,45,2,40,Angert Mimulus – 6,B10,40,112,
733,Redwoods,Redwood Creek,4,2010,S08,Both,733,01-Jun,C10,340.8,1.9,2.3,81.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C10,45,2,40,Angert Mimulus – 6,C10,40,81.1,
737,Redwoods,Redwood Creek,4,2010,S08,Both,737,01-Jun,D10,19.7,1.7,1.6,5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D10,45,31,40,Angert Mimulus – 6,D10,40,4.97,
741,Redwoods,Redwood Creek,4,2010,S08,Both,741,01-Jun,E10,98.4,1.9,1.9,26.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E10,45,6,40,Angert Mimulus – 6,E10,40,26.6,
742,Redwoods,Redwood Creek,4,2010,S08,Both,742,01-Jun,F10,25.9,1.7,1.6,4.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F10,45,33,40,Angert Mimulus – 6,F10,40,4.58,
743,Redwoods,Redwood Creek,4,2010,S08,Both,743,01-Jun,G10,38.1,1.8,1.7,7.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G10,45,20,40,Angert Mimulus – 6,G10,40,7.7,
68,Redwoods,Redwoods,4,2011,S08,Timeseries,68,03-Jan,F5,18,1.7,1.8,13.2,Mimulus Plate 1 Quality Extractions Aug 2020,C9,70,12,25,Angert Mimulus – 1,C9,25,13.2,
69,Redwoods,Redwoods,4,2011,S08,Timeseries,69,R-4,C8,172.1,1.8,2,97.8,Mimulus Plate 1 Quality Extractions Aug 2020,D9,45,2,25,Angert Mimulus – 1,D9,25,97.8,
70,Redwoods,Redwoods,4,2012,S08,Timeseries,70,R-4,E8,139.8,1.8,1.9,55.5,Mimulus Plate 1 Quality Extractions Aug 2020,E9,45,3,25,Angert Mimulus – 1,E9,25,55.5,
71,Redwoods,Redwoods,4,2012,S08,Timeseries,71,01-Jan,F9,79.7,1.8,1.8,11.7,Mimulus Plate 1 Quality Extractions Aug 2020,F9,30,13,25,Angert Mimulus – 1,F9,25,11.7,
72,Redwoods,Redwoods,4,2012,S08,Timeseries,72,01-Jan,G9,75.8,1.9,1.8,4.2,Mimulus Plate 1 Quality Extractions Aug 2020,G9,30,36,29,Angert Mimulus – 1,G9,29,4.22,insufficent
73,Redwoods,Redwoods,4,2012,S08,Timeseries,73,03-Jan,A6,18,1.7,1.7,6.9,Mimulus Plate 1 Quality Extractions Aug 2020,H9,70,22,35,Angert Mimulus – 1,H9,35,6.89,
74,Redwoods,Redwoods,4,2012,S08,Timeseries,74,R-2,C3,1806,1.9,2.4,145,Mimulus Plate 1 Quality Extractions Aug 2020,A10,45,2,30,Angert Mimulus – 1,A10,30,145,
75,Redwoods,Redwoods,4,2012,S08,Timeseries,75,01-Jan,B10,93.6,1.9,1.7,10.2,Mimulus Plate 1 Quality Extractions Aug 2020,B10,30,15,25,Angert Mimulus – 1,B10,25,10.2,
76,Redwoods,Redwoods,4,2012,S08,Timeseries,76,01-Jan,C10,116.4,1.9,1.6,7.1,Mimulus Plate 1 Quality Extractions Aug 2020,C10,30,22,25,Angert Mimulus – 1,C10,25,7.14,
77,Redwoods,Redwoods,4,2012,S08,Timeseries,77,03-Jan,C6,16.1,1.9,1.7,6.8,Mimulus Plate 1 Quality Extractions Aug 2020,D10,65,23,25,Angert Mimulus – 1,D10,25,6.79,
78,Redwoods,Redwoods,4,2012,S08,Timeseries,78,02-Jan,B8,402.4,1.8,1.9,35.6,Mimulus Plate 1 Quality Extractions Aug 2020,E10,30,5,25,Angert Mimulus – 1,E10,25,35.6,
80,Redwoods,Redwoods,4,2013,S08,Timeseries,80,01-Jan,G10,151.4,1.9,1.9,17.8,Mimulus Plate 1 Quality Extractions Aug 2020,G10,30,9,25,Angert Mimulus – 1,G10,25,17.8,
82,Redwoods,Redwoods,4,2013,S08,Timeseries,82,R-4,F8,168.8,1.9,2,53.8,Mimulus Plate 1 Quality Extractions Aug 2020,A11,45,3,30,Angert Mimulus – 1,A11,30,53.8,
83,Redwoods,Redwoods,4,2013,S08,Timeseries,83,03-Jan,G6,37.5,1.9,2.1,17.9,Mimulus Plate 1 Quality Extractions Aug 2020,B11,70,9,30,Angert Mimulus – 1,B11,30,17.9,
84,Redwoods,Redwoods,4,2013,S08,Timeseries,84,R-1,D1,14.6,2.4,2.5,4.3,Mimulus Plate 1 Quality Extractions Aug 2020,C11,95,36,50,Angert Mimulus – 1,C11,50,4.26,
85,Redwoods,Redwoods,4,2014,S08,Timeseries,85,01-Jan,D11,181.7,1.9,1.7,16.5,Mimulus Plate 1 Quality Extractions Aug 2020,D11,30,10,25,Angert Mimulus – 1,D11,25,16.5,
148,Rock Creek,Rock Creek,11,2010,S15,Both,148,R-4,G9,1399.2,2,2.3,71.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C7,30,3,30,Angert Mimulus – 2,C7,30,71.7,
149,Rock Creek,Rock Creek,11,2010,S15,Both,149,02-Feb,D7,127.6,1.9,2,37.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D7,45,5,40,Angert Mimulus – 2,D7,40,37.4,
150,Rock Creek,Rock Creek,11,2010,S15,Both,150,R-3,A5,88.8,1.8,1.9,40.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E7,30,4,30,Angert Mimulus – 2,E7,30,40.5,
151,Rock Creek,Rock Creek,11,2010,S15,Both,151,02-Feb,F7,84.4,1.9,1.7,29.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F7,45,6,40,Angert Mimulus – 2,F7,40,29.7,
152,Rock Creek,Rock Creek,11,2010,S15,Both,152,R-3,B5,170.9,1.9,2.1,55.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G7,30,3,30,Angert Mimulus – 2,G7,30,55.6,
153,Rock Creek,Rock Creek,11,2010,S15,Both,153,R-4,H9,184.5,1.9,2.1,28.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H7,30,6,30,Angert Mimulus – 2,H7,30,28.7,
154,Rock Creek,Rock Creek,11,2010,S15,Both,154,R-4,A10,110.8,1.8,1.9,31.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A8,30,5,25,Angert Mimulus – 2,A8,25,31.3,
155,Rock Creek,Rock Creek,11,2010,S15,Both,155,02-Feb,B8,78.5,1.9,1.6,24.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B8,45,7,40,Angert Mimulus – 2,B8,40,24.6,
156,Rock Creek,Rock Creek,11,2010,S15,Both,156,02-Feb,C8,59.8,1.9,1.6,14.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C8,45,11,40,Angert Mimulus – 2,C8,40,14.2,
754,Rock Creek,Rock Creek,11,2010,S15,Both,754,01-Jun,H10,893,2,2.3,113,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H10,45,2,40,Angert Mimulus – 6,H10,40,113,
157,Rock Creek,Rock Creek,11,2012,S15,Timeseries,157,02-Feb,D8,84.9,1.9,1.7,25.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D8,45,6,40,Angert Mimulus – 2,D8,40,25.3,
158,Rock Creek,Rock Creek,11,2012,S15,Timeseries,158,02-Feb,E8,126.4,1.9,2.1,8.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E8,45,19,40,Angert Mimulus – 2,E8,40,8.21,
159,Rock Creek,Rock Creek,11,2014,S15,Timeseries,159,02-Feb,F8,87.6,1.9,1.9,18.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F8,45,8,40,Angert Mimulus – 2,F8,40,18.8,
160,Rock Creek,Rock Creek,11,2014,S15,Timeseries,160,02-Feb,G8,127.9,1.9,2.1,20.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G8,45,8,40,Angert Mimulus – 2,G8,40,20.1,
161,Rock Creek,Rock Creek,11,2014,S15,Timeseries,161,02-Feb,H8,45.1,1.9,1.6,7.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H8,45,19,40,Angert Mimulus – 2,H8,40,7.9,
162,Rock Creek,Rock Creek,11,2014,S15,Timeseries,162,R-3,C5,116.3,1.9,2,34.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A9,30,5,25,Angert Mimulus – 2,A9,25,34.5,
163,Rock Creek,Rock Creek,11,2014,S15,Timeseries,163,02-Feb,B9,61.1,2,1.8,19.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B9,30,8,25,Angert Mimulus – 2,B9,25,19.8,
164,Rock Creek,Rock Creek,11,2015,S15,Timeseries,164,R-4,B10,40.8,1.6,1.3,10.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C9,50,15,45,Angert Mimulus – 2,C9,45,10.1,
165,Rock Creek,Rock Creek,11,2015,S15,Timeseries,165,R-3,D5,132.7,1.9,2.1,46.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D9,30,4,25,Angert Mimulus – 2,D9,25,46.7,
166,Rock Creek,Rock Creek,11,2015,S15,Timeseries,166,02-Feb,E9,156,1.9,2.2,39.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E9,50,4,45,Angert Mimulus – 2,E9,45,39.6,
167,Rock Creek,Rock Creek,11,2015,S15,Timeseries,167,02-Feb,F9,106.2,1.9,2.2,28.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F9,45,6,40,Angert Mimulus – 2,F9,40,28.2,
168,Rock Creek,Rock Creek,11,2015,S15,Timeseries,168,02-Feb,G9,79.7,1.9,1.7,25.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G9,45,6,40,Angert Mimulus – 2,G9,40,25.9,
169,Rock Creek,Rock Creek,11,2015,S15,Timeseries,169,02-Feb,H9,61.6,1.8,1.6,30.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H9,45,5,40,Angert Mimulus – 2,H9,40,30.9,
170,Rock Creek,Rock Creek,11,2015,S15,Timeseries,170,R-4,C10,268.9,1.8,2.2,106,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,B12,40,2,40,Angert Mimulus – 8,B12,40,106,
171,Rock Creek,Rock Creek,11,2015,S15,Timeseries,171,02-Feb,A10,128.9,1.9,2.3,52,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A10,45,3,40,Angert Mimulus – 2,A10,40,52,
172,Rock Creek,Rock Creek,11,2015,S15,Timeseries,172,02-Feb,B10,145.2,1.9,2.5,52,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B10,45,3,40,Angert Mimulus – 2,B10,40,52,
173,Rock Creek,Rock Creek,11,2015,S15,Timeseries,173,02-Feb,C10,57.3,2,1.6,8.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C10,45,18,40,Angert Mimulus – 2,C10,40,8.36,
174,Rock Creek,Rock Creek,11,2016,S15,Timeseries,174,02-Feb,D10,197.9,1.9,2.3,55,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D10,45,3,40,Angert Mimulus – 2,D10,40,55,
